"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teams__teamId","teams__win","teams__firstBlood","teams__firstTower","teams__firstInhibitor","teams__firstBaron","teams__firstDragon","teams__firstRiftHerald","teams__towerKills","teams__inhibitorKills","teams__baronKills","teams__dragonKills","teams__vilemawKills","teams__riftHeraldKills","teams__dominionVictoryScore","teams__bans__championId","teams__bans__pickTurn","participants__participantId","participants__teamId","participants__championId","participants__spell1Id","participants__spell2Id","participants__highestAchievedSeasonTier","participants__stats__participantId","participants__stats__win","participants__stats__item0","participants__stats__item1","participants__stats__item2","participants__stats__item3","participants__stats__item4","participants__stats__item5","participants__stats__item6","participants__stats__kills","participants__stats__deaths","participants__stats__assists","participants__stats__largestKillingSpree","participants__stats__largestMultiKill","participants__stats__killingSprees","participants__stats__longestTimeSpentLiving","participants__stats__doubleKills","participants__stats__tripleKills","participants__stats__quadraKills","participants__stats__pentaKills","participants__stats__unrealKills","participants__stats__totalDamageDealt","participants__stats__magicDamageDealt","participants__stats__physicalDamageDealt","participants__stats__trueDamageDealt","participants__stats__largestCriticalStrike","participants__stats__totalDamageDealtToChampions","participants__stats__magicDamageDealtToChampions","participants__stats__physicalDamageDealtToChampions","participants__stats__trueDamageDealtToChampions","participants__stats__totalHeal","participants__stats__totalUnitsHealed","participants__stats__damageSelfMitigated","participants__stats__damageDealtToObjectives","participants__stats__damageDealtToTurrets","participants__stats__visionScore","participants__stats__timeCCingOthers","participants__stats__totalDamageTaken","participants__stats__magicalDamageTaken","participants__stats__physicalDamageTaken","participants__stats__trueDamageTaken","participants__stats__goldEarned","participants__stats__goldSpent","participants__stats__turretKills","participants__stats__inhibitorKills","participants__stats__totalMinionsKilled","participants__stats__neutralMinionsKilled","participants__stats__neutralMinionsKilledTeamJungle","participants__stats__neutralMinionsKilledEnemyJungle","participants__stats__totalTimeCrowdControlDealt","participants__stats__champLevel","participants__stats__visionWardsBoughtInGame","participants__stats__sightWardsBoughtInGame","participants__stats__wardsPlaced","participants__stats__wardsKilled","participants__stats__firstBloodKill","participants__stats__firstBloodAssist","participants__stats__firstTowerKill","participants__stats__firstTowerAssist","participants__stats__combatPlayerScore","participants__stats__objectivePlayerScore","participants__stats__totalPlayerScore","participants__stats__totalScoreRank","participants__stats__playerScore0","participants__stats__playerScore1","participants__stats__playerScore2","participants__stats__playerScore3","participants__stats__playerScore4","participants__stats__playerScore5","participants__stats__playerScore6","participants__stats__playerScore7","participants__stats__playerScore8","participants__stats__playerScore9","participants__stats__perk0","participants__stats__perk0Var1","participants__stats__perk0Var2","participants__stats__perk0Var3","participants__stats__perk1","participants__stats__perk1Var1","participants__stats__perk1Var2","participants__stats__perk1Var3","participants__stats__perk2","participants__stats__perk2Var1","participants__stats__perk2Var2","participants__stats__perk2Var3","participants__stats__perk3","participants__stats__perk3Var1","participants__stats__perk3Var2","participants__stats__perk3Var3","participants__stats__perk4","participants__stats__perk4Var1","participants__stats__perk4Var2","participants__stats__perk4Var3","participants__stats__perk5","participants__stats__perk5Var1","participants__stats__perk5Var2","participants__stats__perk5Var3","participants__stats__perkPrimaryStyle","participants__stats__perkSubStyle","participants__stats__statPerk0","participants__stats__statPerk1","participants__stats__statPerk2","participants__timeline__participantId","participants__timeline__|","participants__timeline__|__0-10","participants__timeline__role","participants__timeline__lane","participants__champion","participants__playerName"
"3041222015","NA1","1557791769321","1069","0","11","13","9.9.272.4950","CLASSIC","CUSTOM_GAME","100","Win","True","True","False","False","True","False","5","0","0","2","0","0","0","517","1","1","100","240","12","4","BRONZE","1","True","1001","3077","2031","3044","3067","1054","3340","3","0","0","3","1","1","0","0","0","0","0","0","83027","0","81311","1716","0","5061","0","4581","479","1922","1","5142","8969","5119","14","6","9790","3115","6645","30","7949","4400","1","0","119","18","0","13","159","12","1","0","6","1","False","False","False","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8010","187","67","174","9111","192","60","0","9105","16","0","0","8299","63","0","0","8210","0","0","0","8236","4","0","0","8000","8200","5008","5008","5003","1","creepsPerMinDeltas","6.5","DUO","NONE","Kled","Goku KP"
"","","","","","","","","","","","","","","","","","","","","","","","","","223","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpPerMinDeltas","371.4","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","67","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldPerMinDeltas","293.9","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","25","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","csDiffPerMinDeltas","0.26","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","37","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpDiffPerMinDeltas","40.15999999999998","","","",""
"","","","","","","","","","","200","Fail","False","False","False","False","False","False","0","0","0","0","0","0","0","24","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenPerMinDeltas","302.6","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","64","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenDiffPerMinDeltas","-39.98000000000003","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","254","1","2","100","120","11","6","GOLD","2","True","3706","2031","3078","2055","1036","3111","3340","4","4","5","2","1","1","396","0","0","0","0","0","70773","10584","55597","4591","0","9732","1006","7364","1361","7622","1","7755","10420","0","22","16","16124","4156","11727","240","6737","6558","0","0","11","76","43","8","109","9","3","0","5","4","True","False","False","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8010","823","308","743","9111","388","180","0","9104","11","20","0","8014","309","0","0","8234","2380","0","0","8232","3","30","0","8000","8200","5005","5008","5002","2","creepsPerMinDeltas","0.2","DUO_SUPPORT","NONE","Hecarim","BasicallyCancer"
"","","","","","","","","","","","","","","","","","","","","","","","","","31","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpPerMinDeltas","330.9","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldPerMinDeltas","331.2","","","",""
