"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teams__teamId","teams__win","teams__firstBlood","teams__firstTower","teams__firstInhibitor","teams__firstBaron","teams__firstDragon","teams__firstRiftHerald","teams__towerKills","teams__inhibitorKills","teams__baronKills","teams__dragonKills","teams__vilemawKills","teams__riftHeraldKills","teams__dominionVictoryScore","teams__bans__championId","teams__bans__pickTurn","participants__participantId","participants__teamId","participants__championId","participants__spell1Id","participants__spell2Id","participants__highestAchievedSeasonTier","participants__stats__participantId","participants__stats__win","participants__stats__item0","participants__stats__item1","participants__stats__item2","participants__stats__item3","participants__stats__item4","participants__stats__item5","participants__stats__item6","participants__stats__kills","participants__stats__deaths","participants__stats__assists","participants__stats__largestKillingSpree","participants__stats__largestMultiKill","participants__stats__killingSprees","participants__stats__longestTimeSpentLiving","participants__stats__doubleKills","participants__stats__tripleKills","participants__stats__quadraKills","participants__stats__pentaKills","participants__stats__unrealKills","participants__stats__totalDamageDealt","participants__stats__magicDamageDealt","participants__stats__physicalDamageDealt","participants__stats__trueDamageDealt","participants__stats__largestCriticalStrike","participants__stats__totalDamageDealtToChampions","participants__stats__magicDamageDealtToChampions","participants__stats__physicalDamageDealtToChampions","participants__stats__trueDamageDealtToChampions","participants__stats__totalHeal","participants__stats__totalUnitsHealed","participants__stats__damageSelfMitigated","participants__stats__damageDealtToObjectives","participants__stats__damageDealtToTurrets","participants__stats__visionScore","participants__stats__timeCCingOthers","participants__stats__totalDamageTaken","participants__stats__magicalDamageTaken","participants__stats__physicalDamageTaken","participants__stats__trueDamageTaken","participants__stats__goldEarned","participants__stats__goldSpent","participants__stats__turretKills","participants__stats__inhibitorKills","participants__stats__totalMinionsKilled","participants__stats__neutralMinionsKilled","participants__stats__neutralMinionsKilledTeamJungle","participants__stats__neutralMinionsKilledEnemyJungle","participants__stats__totalTimeCrowdControlDealt","participants__stats__champLevel","participants__stats__visionWardsBoughtInGame","participants__stats__sightWardsBoughtInGame","participants__stats__wardsPlaced","participants__stats__wardsKilled","participants__stats__firstBloodKill","participants__stats__firstBloodAssist","participants__stats__firstTowerKill","participants__stats__firstTowerAssist","participants__stats__firstInhibitorKill","participants__stats__firstInhibitorAssist","participants__stats__combatPlayerScore","participants__stats__objectivePlayerScore","participants__stats__totalPlayerScore","participants__stats__totalScoreRank","participants__stats__playerScore0","participants__stats__playerScore1","participants__stats__playerScore2","participants__stats__playerScore3","participants__stats__playerScore4","participants__stats__playerScore5","participants__stats__playerScore6","participants__stats__playerScore7","participants__stats__playerScore8","participants__stats__playerScore9","participants__stats__perk0","participants__stats__perk0Var1","participants__stats__perk0Var2","participants__stats__perk0Var3","participants__stats__perk1","participants__stats__perk1Var1","participants__stats__perk1Var2","participants__stats__perk1Var3","participants__stats__perk2","participants__stats__perk2Var1","participants__stats__perk2Var2","participants__stats__perk2Var3","participants__stats__perk3","participants__stats__perk3Var1","participants__stats__perk3Var2","participants__stats__perk3Var3","participants__stats__perk4","participants__stats__perk4Var1","participants__stats__perk4Var2","participants__stats__perk4Var3","participants__stats__perk5","participants__stats__perk5Var1","participants__stats__perk5Var2","participants__stats__perk5Var3","participants__stats__perkPrimaryStyle","participants__stats__perkSubStyle","participants__stats__statPerk0","participants__stats__statPerk1","participants__stats__statPerk2","participants__timeline__participantId","participants__timeline__|","participants__timeline__|__10-20","participants__timeline__|__0-10","participants__timeline__|__30-end","participants__timeline__|__20-30","participants__timeline__role","participants__timeline__lane","participants__champion","participants__playerName"
"3067766349","NA1","1560813613497","2695","0","11","13","9.12.277.6038","CLASSIC","CUSTOM_GAME","100","Win","False","True","True","True","False","True","11","3","1","0","0","1","0","92","1","1","100","420","4","12","SILVER","1","True","3071","3053","3111","3812","3065","3026","3363","14","9","3","6","2","3","797","2","0","0","0","0","316379","1046","309368","5965","0","54762","90","54507","165","24876","1","74686","14488","5197","45","4","64441","24692","22815","16934","20316","20075","0","2","286","4","0","0","45","18","1","0","18","6","False","False","False","True","True","False","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8359","930","38","0","8304","12","0","0","8345","4","0","0","8347","0","0","0","8143","1581","0","0","8135","7176","5","0","8300","8100","5008","5008","5003","1","creepsPerMinDeltas","9.3","6.5","5.1","5.9","SOLO","TOP","Illaoi","Feathers and Fur"
"","","","","","","","","","","","","","","","","","","","","","","","","","64","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpPerMinDeltas","566","409.2","596.7","586.7","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","103","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldPerMinDeltas","439.4","266.5","610.7","494.9","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","105","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","csDiffPerMinDeltas","2.200000000000001","0.8999999999999995","3.2","1.4999999999999998","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","72","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpDiffPerMinDeltas","12.200000000000017","-45","153.89999999999998","174.89999999999998","","","",""
"","","","","","","","","","","200","Fail","True","False","False","False","True","False","5","0","2","7","0","0","0","32","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenPerMinDeltas","787.7","400.5","3091.3999999999996","1011.2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","412","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","damageTakenDiffPerMinDeltas","-54.19999999999993","88.1","1492.2999999999997","76.80000000000001","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","6","6","2","100","111","11","12","","2","True","2031","3109","3047","3194","3001","1401","3340","3","9","12","0","1","0","776","0","0","0","0","0","198641","140747","41443","16448","0","16155","13070","2075","1008","7875","1","77733","19633","4413","35","78","42493","11749","25240","5503","13408","11900","2","1","53","131","79","20","981","17","2","0","19","2","False","False","True","False","False","True","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8439","1218","0","0","8446","2545","0","0","8444","1417","0","0","8451","242","0","0","8120","3","30","13","8106","5","0","0","8400","8100","5005","5002","5003","2","creepsPerMinDeltas","0.2","0.3","2.1","1.4","NONE","JUNGLE","Nautilus","DokiFTW"
"","","","","","","","","","","","","","","","","","","","","","","","","","29","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","xpPerMinDeltas","301.1","278.4","368.9","481.6","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","15","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","goldPerMinDeltas","290.7","222.7","297.8","320","","","",""
